"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
-0.0060118,-2.01e-06,0.001143,3.2584e-07,3.0666e-11,23399,0.0069987,4.7402,0.0008677,2.25
0,0,0,1e-10,0,40116,0.0085977,4.7883,-5.5511e-17,2.25
-0.0058419,-2.0253e-06,0.0011832,3.1746e-07,3.0272e-11,23399,0.0085974,4.7883,0.0008677,2.25
0,0,0,1e-10,0,40116,0.010177,4.8363,-5.5511e-17,2.25
-0.0056732,-2.0346e-06,0.0012232,3.093e-07,2.988e-11,23399,0.010176,4.8363,0.0008677,2.25
0,0,0,1e-10,0,40116,0.011736,4.8844,-5.5511e-17,2.25
-0.0055061,-2.04e-06,0.0012629,3.0138e-07,2.949e-11,23399,0.011735,4.8844,0.0008677,2.25
0,0,0,1e-10,0,40116,0.013275,4.9324,-5.5511e-17,2.25
-0.0053407,-2.0483e-06,0.0013023,2.937e-07,2.9104e-11,23399,0.013275,4.9324,0.0008677,2.25
0,0,0,1e-10,0,40116,0.014795,4.9805,-5.5511e-17,2.25
-0.0051773,-2.055e-06,0.0013413,2.8628e-07,2.8722e-11,23399,0.014795,4.9804,0.0008677,2.25
0,0,0,1e-10,0,40116,0.016296,5.0285,-5.5511e-17,2.25
-0.0050162,-2.0531e-06,0.0013797,2.7912e-07,2.8344e-11,23399,0.016296,5.0285,0.0008677,2.25
0,0,0,1e-10,0,40116,0.017778,5.0765,-5.5511e-17,2.25
-0.0048574,-2.0463e-06,0.0014175,2.7221e-07,2.7972e-11,23399,0.017778,5.0765,0.0008677,2.25
0,0,0,1e-10,0,40116,0.019242,5.1246,-5.5511e-17,2.25
-0.0047013,-2.0394e-06,0.0014546,2.6556e-07,2.7605e-11,23399,0.019242,5.1246,0.0008677,2.25
0,0,0,1e-10,0,40116,0.020688,5.1726,-5.5511e-17,2.25
-0.0045479,-2.0324e-06,0.0014909,2.5917e-07,2.7244e-11,23399,0.020688,5.1726,0.0008677,2.25
0,0,0,1e-10,0,40116,0.022117,5.2207,-5.5511e-17,2.25
-0.0043976,-2.0212e-06,0.0015264,2.5304e-07,2.689e-11,23399,0.022116,5.2207,0.0008677,2.25
0,0,0,1e-10,0,40116,0.023528,5.2687,-5.5511e-17,2.25
-0.0042506,-2.0088e-06,0.0015609,2.4716e-07,2.6542e-11,23399,0.023528,5.2687,0.0008677,2.25
0,0,0,1e-10,0,40116,0.024924,5.3168,-5.5511e-17,2.25
-0.0041069,-2.003e-06,0.0015945,2.4154e-07,2.62e-11,23399,0.024923,5.3168,0.0008677,2.25
0,0,0,1e-10,0,40116,0.026304,5.3648,-5.5511e-17,2.25
-0.0039668,-1.99e-06,0.001627,2.3614e-07,2.5863e-11,23399,0.026303,5.3648,0.0008677,2.25
0,0,0,1e-10,0,40116,0.027669,5.4129,-5.5511e-17,2.25
-0.0038306,-1.9744e-06,0.0016583,2.3098e-07,2.5531e-11,23399,0.027668,5.4129,0.0008677,2.25
0,0,0,1e-10,0,40116,0.02902,5.4609,-5.5511e-17,2.25
-0.0036983,-1.9653e-06,0.0016885,2.2603e-07,2.5203e-11,23399,0.029019,5.4609,0.0008677,2.25
0,0,0,1e-10,0,40116,0.030357,5.509,-5.5511e-17,2.25
-0.0035705,-1.9333e-06,0.0017173,2.2131e-07,2.4881e-11,23399,0.030357,5.5089,0.0008677,2.25
0,0,0,1e-10,0,40116,0.031683,5.557,-5.5511e-17,2.25
-0.0034473,-1.8899e-06,0.0017449,2.1681e-07,2.4565e-11,23399,0.031682,5.557,0.0008677,2.25
0,0,0,1e-10,0,40116,0.032997,5.6051,-5.5511e-17,2.25
-0.0033291,-1.8489e-06,0.0017711,2.1254e-07,2.4257e-11,23399,0.032996,5.605,0.0008677,2.25
0,0,0,1e-10,0,40116,0.0343,5.6531,-5.5511e-17,2.25
-0.0032161,-1.7969e-06,0.001796,2.0851e-07,2.3956e-11,23399,0.0343,5.6531,0.0008677,2.25
0,0,0,1e-10,0,40116,0.035594,5.7011,-5.5511e-17,2.25
-0.0031084,-1.7635e-06,0.0018197,2.0469e-07,2.3664e-11,23399,0.035593,5.7011,0.0008677,2.25
0,0,0,1e-10,0,40116,0.03688,5.7492,-5.5511e-17,2.25
-0.0030066,-1.7617e-06,0.0018423,2.011e-07,2.3381e-11,23399,0.036879,5.7492,0.0008677,2.25
0,0,0,1e-10,0,40116,0.038158,5.7972,-5.5511e-17,2.25
-0.0029107,-1.7473e-06,0.0018636,1.977e-07,2.3104e-11,23399,0.038158,5.7972,0.0008677,2.25
0,0,0,1e-10,0,40116,0.039431,5.8453,-5.5511e-17,2.25
-0.002821,-1.7331e-06,0.0018838,1.9448e-07,2.2831e-11,23399,0.039431,5.8453,0.0008677,2.25
0,0,0,1e-10,0,40116,0.040699,5.8933,-5.5511e-17,2.25
-0.0027377,-1.6956e-06,0.0019029,1.9144e-07,2.2564e-11,23399,0.040698,5.8933,0.0008677,2.25
0,0,0,1e-10,0,40116,0.041963,5.9414,-5.5511e-17,2.25
-0.0026613,-1.7148e-06,0.0019213,1.8859e-07,2.2303e-11,23399,0.041962,5.9413,0.0008677,2.25
0,0,0,1e-10,0,40116,0.043223,5.9894,-5.5511e-17,2.25
-0.0025926,-1.7659e-06,0.0019389,1.8594e-07,2.205e-11,23399,0.043223,5.9894,0.0008677,2.25
0,0,0,1e-10,0,40116,0.044482,6.0375,-5.5511e-17,2.25
-0.0025315,-1.7502e-06,0.0019558,1.8345e-07,2.1799e-11,23399,0.044482,6.0374,0.0008677,2.25
0,0,0,1e-10,0,40116,0.045741,6.0855,-5.5511e-17,2.25
-0.0024784,-1.7586e-06,0.0019724,1.811e-07,2.155e-11,23399,0.045741,6.0855,0.0008677,2.25
